l2_error,_timestamp,loss,step,loss_boundary,loss_interior,_step,time,_runtime
0.1061748957189568,1744655083.7227855,0.011447068964672515,36,0.008627301187181058,0.0028197677774914574,36,106.52857995033264,113.98459553718567
0.09480288404132607,1744655086.5574236,0.007933047610992358,37,0.005334171664987481,0.0025988759460048765,37,109.36330127716064,116.81923365592957
0.0867472736167063,1744655089.39084,0.006242290083546674,38,0.0035622594416976038,0.00268003064184907,38,112.19670605659485,119.65265011787415
0.08121163525448806,1744655092.2262018,0.005091937531839031,39,0.0031350145537388996,0.001956922978100131,39,115.03214621543884,122.48801183700562
0.06893842864341414,1744655095.060975,0.004268981969636938,40,0.0027004459266006687,0.0015685360430362694,40,117.86689186096191,125.32278513908386
0.05917217188963911,1744655100.7172747,0.0033392893485104406,42,0.002526773629256619,0.0008125157192538214,41,123.52310729026794,130.97908473014832
0.0662196448062122,1744655112.0239255,0.004212014338568243,46,0.0028498893400633447,0.0013621249985048983,42,134.82994842529297,142.28573560714722
0.05636637823497171,1744655123.3286524,0.0031580708060956154,50,0.0018025681152883657,0.0013555026908072495,43,146.1346573829651,153.59046244621277
0.05530496744379955,1744655137.456578,0.003171836782974568,55,0.0021367698999465046,0.0010350668830280633,44,160.26224565505981,167.71838808059692
0.050585914342577275,1744655154.4091449,0.0038385855604392925,61,0.0025345537877613377,0.001304031772677955,45,177.21507954597473,184.67095494270325
0.05211420987023274,1744655171.3572168,0.002684453372864563,67,0.001469921835572018,0.0012145315372925447,46,194.16309309005737,201.61902689933777
0.04124468507004441,1744655188.3075883,0.0016337081061113343,73,0.0008688293070554342,0.0007648787990559002,47,211.1130771636963,218.56939840316772
0.04290533841079991,1744655210.9047935,0.0019728161556747835,81,0.0012640620415729172,0.0007087541141018661,48,233.71081686019897,241.16660356521606
0.04443893592123875,1744655233.5039024,0.0014654767420012268,89,0.0007041798084903367,0.00076129693351089,49,256.3097176551819,263.76571249961853
0.03967468291539002,1744655258.9261017,0.0012538134187781843,98,0.0006330849464571834,0.0006207284723210009,50,281.73211646080017,289.1879117488861
0.038020748000249446,1744655284.344042,0.001459521360017378,107,0.0007987141671735726,0.0006608071928438054,51,307.14981865882874,314.6058521270752
0.038851249876571285,1744655315.4107358,0.0014546080890304408,118,0.0008371802498908955,0.0006174278391395453,52,338.21649742126465,345.6725459098816
0.038096434957171375,1744655349.306201,0.0014900979658711072,130,0.0006836767453825154,0.0008064212204885918,53,372.1120889186859,379.56801104545593
0.0361507436608162,1744655386.0206108,0.0012568479210118965,143,0.0008107735274853722,0.0004460743935265243,54,408.8263490200043,416.28242087364197
0.03417010736494977,1744655425.559864,0.0010894012412822171,157,0.0005020797285333644,0.0005873215127488526,55,448.3656098842621,455.82167410850525
0.033145251501175275,1744655467.9146945,0.0010603254740515228,172,0.0006413072583120935,0.0004190182157394294,56,490.72040033340454,498.176504611969
0.029296599606382694,1744655518.7486513,0.0010730508811911065,190,0.0005137951540220878,0.0005592557271690187,57,541.5544316768646,549.0104613304138
0.026659440418504533,1744655569.5745664,0.0009132609388565415,208,0.0004731193133548468,0.0004401416255016946,58,592.3802816867828,599.8363764286041
