l2_error,_timestamp,loss,loss_interior,time,loss_boundary,_step,_runtime,step
0.00029428653318574116,1746062986.0116568,2.499627936079936e-07,1.9671734890359169e-07,1715.750582933426,5.3245444704401923e-08,77,1718.3299238681793,1272
0.0001246525984000995,1746063158.2205682,5.25829135586338e-08,3.15784140701912e-08,1887.9594178199768,2.1004499488442596e-08,78,1890.5388352870941,1400
0.000325780145839121,1746063345.1717315,1.240397655556544e-07,5.7115068748972215e-08,2074.9106533527374,6.692469680668218e-08,79,2077.4899985790253,1539
0.0001856606476836174,1746063552.264308,9.276764932942215e-08,6.528504798625364e-08,2282.003217935562,2.7482601343168514e-08,80,2284.582575082779,1693
0.00013016710804899061,1746063781.1266837,6.010244201138364e-08,4.651619985964914e-08,2510.8656010627747,1.3586242151734505e-08,81,2513.4449508190155,1863
8.015197422833106e-05,1746064031.4548194,2.812255577302274e-08,1.7872880247759617e-08,2761.193733215332,1.0249675525263122e-08,82,2763.7730865478516,2049
0.0008696742140685644,1746064307.308458,2.8282002714468022e-05,2.8273088168128612e-05,3037.047311782837,8.914546339410747e-09,83,3039.6267251968384,2254
7.153244861053067e-05,1746064609.8850675,2.3340426368587415e-08,1.4589371837957337e-08,3339.6239216327667,8.751054530630079e-09,84,3342.203334569931,2479
6.879675715930839e-05,1746064944.110873,2.0395047007719554e-08,1.3432294251014862e-08,3673.8497562408447,6.962752756704691e-09,85,3676.4291400909424,2727
8.757217863008611e-05,1746065312.532439,2.1017546850922725e-08,1.3291341952796948e-08,4042.2713346481323,7.726204898125779e-09,86,4044.850706100464,3000
6.444499172617969e-05,1746065715.870022,1.660588685754995e-08,1.0781529904190458e-08,4445.608917474747,5.824356953359492e-09,87,4448.188289165497,3299
0.0001793457268117891,1746066160.955854,1.3233259868752206e-06,1.3183255429838108e-06,4890.694781541824,5.000443891409753e-09,88,4893.274121046066,3629
0.00013891592890239685,1746066650.323718,4.6120455436867395e-08,3.2966444238566004e-08,5380.062533855438,1.3154011198301391e-08,89,5382.641985177994,3992
5.3909496655232655e-05,1746067188.9378986,1.252717209813076e-08,8.522793047791552e-09,5918.676803827286,4.004379050339207e-09,90,5921.256165742874,4391
9.6422787199584e-05,1746067782.55899,1.305075085960765e-07,8.115883956472735e-08,6512.297878503799,4.934866903134915e-08,91,6514.877257108688,4831
4.342969829950533e-05,1746068271.0222018,1.002915187391096e-08,6.425522101104306e-09,7000.761109828949,3.6036297728066547e-09,92,7003.340468883514,5193
