loss,loss_boundary,time,_runtime,l2_error,step,_step,_timestamp,loss_interior
0.285289694660944,0.0949549214037096,243.74882245063782,246.37981414794922,0.5413300609403362,790,72,1753932958.3613002,0.1903347732572344
0.3289712591776347,0.07930469913632467,268.1171317100525,270.74795055389404,0.6066407496429039,869,73,1753932982.7294366,0.24966656004131002
0.2255092972991856,0.055003910306293195,294.71240282058716,297.343403339386,0.4810727784276147,956,74,1753933009.3248894,0.1705053869928924
0.20705019872576216,0.051976535884297265,324.2838008403778,326.9146521091461,0.5533366432784195,1052,75,1753933038.8961382,0.1550736628414649
0.2147183658606694,0.05966404517381407,356.5934901237488,359.2244510650635,0.6392325779605881,1157,76,1753933071.2059371,0.15505432068685532
0.13347243733971476,0.04082404185416947,391.6297266483307,394.26059126853943,0.41864607156043215,1272,77,1753933106.2420774,0.09264839548554529
0.13035309707357015,0.02818088188104877,430.46857619285583,433.0994143486023,0.38501818040239033,1400,78,1753933145.0809004,0.10217221519252137
0.12222593217364826,0.03311448135310403,473.2146484851837,475.8456401824951,0.4209960900413068,1539,79,1753933187.8271263,0.08911145082054422
0.10521592148110478,0.02069112329058973,520.6785554885864,523.3097822666168,0.3946581428818207,1693,80,1753933235.2912683,0.08452479819051505
0.09330151794347961,0.03037016578119511,572.9657049179077,575.5966653823853,0.299289852874242,1863,81,1753933287.5781515,0.0629313521622845
0.0889193093248582,0.02354264540918,629.8419213294983,632.4729664325714,0.2511633728855402,2049,82,1753933344.4544525,0.0653766639156782
0.04875295790852667,0.015213230022420903,692.9625868797302,695.5936770439148,0.22727882823946732,2254,83,1753933407.5751631,0.03353972788610577
0.05443965795215146,0.013596680135323802,762.0053610801697,764.6363649368286,0.15795639367283532,2479,84,1753933476.617851,0.04084297781682766
0.04011896561271096,0.012947769411663632,837.9498455524445,840.5808973312378,0.20391002945640016,2727,85,1753933552.5623834,0.02717119620104733
0.04676365336319333,0.01116838963694363,921.1448972225189,923.7759051322937,0.16818431030380543,3000,86,1753933635.7573912,0.0355952637262497
