_timestamp,loss_interior,loss,step,l2_error,time,_runtime,loss_boundary,_step
1746100828.5116346,1.5328889532226056e-05,1.6712153544039674e-05,2254,0.0009897217411341654,498.3579623699188,500.9028036594391,1.3832640118136174e-06,83
1746100878.4981523,0.0006901346192561598,0.0006912795699679993,2479,0.0008556706271905784,548.3443927764893,550.8893213272095,1.1449507118394745e-06,84
1746100933.0386014,5.445100136877729e-06,6.338109711730992e-06,2727,0.0007749427459208841,602.8849222660065,605.4297704696655,8.930095748532626e-07,85
1746100993.5654256,2.4174309098478996e-06,3.210605385029288e-06,3000,0.0007067507844093727,663.4116473197937,665.9565947055817,7.931744751813884e-07,86
1746101060.2912636,4.2243618748896515e-06,4.914660558912824e-06,3299,0.0006620171807051437,730.1382534503937,732.6824326515198,6.902986840231721e-07,87
1746101135.5368047,1.1626871157670746e-06,1.7908536988109373e-06,3629,0.0006264156871133648,805.3822603225708,807.9279737472534,6.281665830438627e-07,88
1746101217.347824,1.6686698548172978e-06,2.239278472671069e-06,3992,0.000584590543393112,887.1942462921143,889.7389931678772,5.706086178537712e-07,89
1746101305.8944125,1.0368201429850592e-05,1.096259579566097e-05,4391,0.0005471237974773553,975.7399067878723,978.2855815887451,5.943943658103783e-07,90
1746101403.4391534,1.0255709288460205e-06,1.4023101720471507e-06,4831,0.0005058172374780499,1073.2854385375977,1075.8303225040436,3.767392432011303e-07,91
1746101512.0449865,1.283756578032008e-06,1.6977557799506542e-06,5314,0.0004841353416339541,1181.8912298679352,1184.4361555576324,4.13999201918646e-07,92
1746101631.407216,7.300410222769013e-07,1.0892189204913156e-06,5845,0.0004568089124010943,1301.2536313533783,1303.79838514328,3.591778982144145e-07,93
1746101763.7477155,8.437607665601287e-07,1.1313102563809247e-06,6429,0.0004280587717203903,1433.5932400226593,1436.1388845443726,2.87549489820796e-07,94
1746101906.9982529,7.381136295351294e-07,1.0102034850735097e-06,7072,0.00042247416763144117,1576.8445188999176,1579.3894219398499,2.720898555383801e-07,95
1746102062.909449,6.151298636137149e-07,8.673869462269463e-07,7779,0.0003986901218439452,1732.7548639774323,1735.300618171692,2.522570826132314e-07,96
1746102238.8637493,4.816864934910501e-07,7.046042670548294e-07,8557,0.0003872414175452748,1908.7103533744812,1911.2549183368683,2.2291777356377926e-07,97
1746102432.3572373,5.798071676415342e-07,8.069640190257691e-07,9413,0.00037384923621653547,2102.2027962207794,2104.7484064102173,2.2715685138423489e-07,98
1746102641.2390904,5.129821415701435e-07,7.240607406317037e-07,10354,0.0003901166616830995,2311.085478782654,2313.630259513855,2.1107859906156014e-07,99
1746102870.578399,6.766067057686481e-07,8.952302306154227e-07,11389,0.00041590035837220667,2540.4239139556885,2542.969568014145,2.1862352484677464e-07,100
1746103129.0804791,6.197680728537677e-07,8.43889878431785e-07,12528,0.00043997806254706735,2798.92694234848,2801.4716482162476,2.2412180557801728e-07,101
1746103410.663112,9.549783913326108e-07,1.2478184513889612e-06,13781,0.0005141081667781422,3080.509396791458,3083.0542809963226,2.9284006005635027e-07,102
1746103716.7871692,1.5489640406501227e-06,2.033521799378804e-06,15159,0.0007212298710766479,3386.6334171295166,3389.178338289261,4.84557758728681e-07,103
1746104054.884716,3.1971736299259976e-06,3.7829953461031647e-06,16675,0.0007769390079685448,3724.730874300003,3727.275885105133,5.858217161771671e-07,104
1746104426.758138,1.962676566278979e-06,2.6108398182316486e-06,18342,0.0009260659102308395,4096.604513645172,4099.149307012558,6.481632519526697e-07,105
1746104833.0580688,1.4711476176190077e-06,1.7332277704860314e-06,20177,0.0005160907204944994,4502.9046239852905,4505.449237823486,2.620801528670238e-07,106
1746105286.870137,8.326783945972922e-07,1.072930022568757e-06,22194,0.00046309296887806503,4956.716352939606,4959.26130604744,2.402516279714648e-07,107
1746105784.9555705,4.839242735202459e-07,6.96911483515963e-07,24414,0.0004619648778211257,5454.801923751831,5457.346739530563,2.1298720999571708e-07,108
1746106327.3171968,3.981320465671199e-07,5.009808318786702e-07,26855,0.00027361434792236354,5997.163539886475,5999.708365917206,1.0284878531155031e-07,109
1746106926.7814775,2.5740778070934e-07,3.28361832037547e-07,29540,0.00024224327966240007,6596.6276161670685,6599.172646522522,7.095405132820699e-08,110
1746107330.1751766,1.8902839084251106e-07,2.744640568714017e-07,31341,0.0002535880216542629,7000.021578073502,7002.566345691681,8.54356660288906e-08,111
